delta_k,d_k,D_9_mae,D_9_time,D_12_mae,D_12_time,D_15_mae,D_15_time,D_18_mae,D_18_time,D_21_mae,D_21_time,D_24_mae,D_24_time,D_27_mae,D_27_time,D_30_mae,D_30_time,D_33_mae,D_33_time,D_36_mae,D_36_time,D_39_mae,D_39_time
5,3,11.402,0.9,10.623,1.5,10.812,2.31,11.237,3.28,11.254,4.84,11.276,7.0,11.301,10.24,11.314,14.75,11.326,21.61,11.332,31.36,11.344,45.74
5,5,9.524,1.1,8.842,1.7,9.091,2.47,9.603,3.46,9.652,5.01,9.678,7.28,9.702,10.61,9.715,15.39,9.723,22.38,9.731,32.62,9.744,47.32
5,7,10.217,1.3,9.401,1.9,9.613,2.74,10.086,3.69,10.152,5.25,10.184,7.68,10.204,11.22,10.215,16.31,10.223,23.71,10.234,34.52,10.241,50.23
5,9,11.008,1.6,10.217,2.2,10.536,3.11,11.078,4.02,11.151,5.84,11.182,8.42,11.203,12.23,11.214,17.66,11.223,25.74,11.231,37.42,11.244,54.43
10,3,11.724,0.8,10.937,1.4,11.045,2.12,11.289,3.02,11.351,4.37,11.382,6.41,11.401,9.34,11.412,13.53,11.423,19.56,11.433,28.52,11.441,41.39
10,5,9.824,1.0,9.021,1.5,9.276,2.21,9.803,3.22,9.852,4.63,9.881,6.74,9.902,9.71,9.915,14.06,9.924,20.47,9.931,29.75,9.944,43.32
10,7,10.526,1.2,9.724,1.7,9.903,2.42,10.381,3.31,10.447,4.82,10.478,7.03,10.504,10.23,10.515,14.77,10.523,21.51,10.534,31.26,10.542,45.46
10,9,11.308,1.4,10.512,2.0,10.826,2.82,11.182,3.64,11.251,5.19,11.283,7.61,11.302,11.01,11.314,15.95,11.323,23.34,11.332,33.79,11.341,49.21
